Missing Reports,Missing Forms,Validation Checklist,Missing Plans,Missing Details,Missing Drawings,Incorrect Fee - Underpayment,Incorrect Fee - Other,Other
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Flood Risk Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/ Or go the Environment Agency web page https://www.gov.uk/guidance/flood-risk-assessment-for-planning-applications.",,,,,,,,The proposed floor layout plan is annotated as 2 no. bedroom 5 - please amend
"The application must be accompanied by a Flood Risk Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/ Or go the Environment Agency web page https://www.gov.uk/guidance/flood-risk-assessment-for-planning-applications.",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
Please provide updated landscape plan showing trees that are to be retained and proposed trees that you are referring to in your Design and Access Statement  Also plans within your tree survey do not reflect the amended layout please amend,,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,Please submit a landscaping scheme.
The application site is within a Coal Mining Development Referral Area as such a Coal Mining Risk Assessment must accompany this application. Further information on what information should be contained within a Coal Mining Risk Assessment and who can prepare one including further advice relating to coal mining in Salford can be found athttps://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/coal-mining-risk-assessment/,,,,,,,,Please submit a construction management plan.
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,Please submit finish floor levels plans.
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",,,,,,,,"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the whole boundary not just a section of the proposed site, please provide an amended plan."
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,"Please confirm that the site address is 61, 61A and 61B Liverpool Road, IRLAM, MANCHESTER, M44 6EH."
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",,,,,,,,Please provide scaled roof plans in metric.
"The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Biodiversity Net Gain Metric (excel file), as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,Please submit a schedule with the apartment sizes in sqm.
"The application must be accompanied by a Crime Impact Statement, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/crime-impact-statement/",,,,,,,,"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan."
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",,,,,,,,The proposed floor layouts must show each of the room sizes and communal areas in metric. Please ensure the lounge area is completed
Please submit a s ustainability and energy statement,,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
A Transport Assessment is required to accompany the application. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htm.,,,,,,,,Confirmation is required for how many persons are residing at the property
"The application must be accompanied by a Flood Risk Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/ Or go the Environment Agency web page https://www.gov.uk/guidance/flood-risk-assessment-for-planning-applications.",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by Planning Obligations pro forma statement, or the minimum information submitted in a viability statement as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htmhttps://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/planning-obligations-pro-forma-statement/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
A Transport Assessment is required to accompany the application. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htm.,,,,,,,,"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan."
The submitted location plan does not clearly show the wider context which the site sits within - please submit an amended location plan to a smaller scale. The affordable housing statement should be written in accordance with the validation checklist. (https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/affordable-housing-statement/) We require a separate document for affordable housing 3.Air Quality - The folder within the transfer is empty - please re-send,,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"Please provide existing and proposed land levels (topographical surveys) and finished floor levels in metric, scaled and in PDF-format.",,,,,,,,The proposed general arrangements plans document includes a location plan with the red line around the entire building. Please amend it to only indicate the site area.
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,Please confirm the proposed floor area of the mezzanine in sqm.
Please provide a statement confirming the approach being taken to energy usage and sustainability,,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, how many residents will be residing at the property BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
Fire safety statement required (proposals for buildings over 18m tall containing more than one dwelling will require a 'Fire Statement'.,,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by an Affordable Housing Statement, as required by Salford?s Validation Checklist. Further details about the information required can be found on the web site at http://www.salford.gov.uk/validationchecklist.htm",,,,,,,,Please submit a loss of community facility justification.
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,Please submit a Waste Management and Servicing Strategy.
"The application must be accompanied by a Crime Impact Statement, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/crime-impact-statement/",,,,,,,,Please provide proposed and existing roof plans in metric with scale and scale bar included.
"The application must be accompanied by Planning Obligations pro forma statement, or the minimum information submitted in a viability statement as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htmhttps://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/planning-obligations-pro-forma-statement/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Planning Statement, as required by Salford?s Validation Checklist. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htm",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",,,,,,,,A crown reduction should be stated in terms of the intended height and spread of the tree(s) in metres after pruning as stated in the attached guidance.
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",,,,,,,,Please confirm if you wish to fell the tree or reduce the tree.
The application site is within a Coal Mining Development Referral Area as such a Coal Mining Risk Assessment must accompany this application. Further information on what information should be contained within a Coal Mining Risk Assessment and who can prepare one including further advice relating to coal mining in Salford can be found athttps://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/coal-mining-risk-assessment/,,,,,,,,A crown reduction should be stated in terms of the intended height and spread of the tree(s) in metres after pruning (not as a percentage %).
The submitted file statement is blank,,,,,,,,Please plot the ash tree on your 1:1250 plan using a clear circle.
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",,,,,,,,"Clear lamppost is vague, please provide a distance you wish to provide between the lamppost and the tree. Or confirm that this element of work is already within the proposal."
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,Please provide the resultant measurements in metres after pruning. ?
"The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",,,,,,,,A crown reduction should be stated in terms of the intended height and spread of the tree(s) in metres after pruning (not as a percentage %) as stated in the attached guidance.
The application should be accompanied by a Green Belt Impact Assessment. Further details about the information required can be found on our web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/,,,,,,,,A crown reduction should be stated in terms of the intended height/and or spread of the tree(s) in metres after pruning (not as a percentage %) as stated in the attached guidance.
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",,,,,,,,We require r esultant measurement for the lower limb (direction of road) or please confirm if the reduction is this incorporated within the proposed overall crown reduction.
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,,,,,,,,Remove limb overgrowing drive in direction of property. Please confirm is limb to be removed back to the main stem? or provide a resultant measurement.
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",,,,,,,,Can you please provide a distance you wish to prune back the branches behind the boundary fence/or measurements of the branches after pruning. I.e prune to provide a 1m clearance between the tree and the boundary fence.
"The application must be accompanied by a Biodiversity Net Gain Metric in an excel; format, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above. Please note we have omitted the removal of deadwood from the proposal as this is exempt works."
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",,,,,,,,"There is no T13 on the submitted plan, we assume it to be identified as T3, can the plan be amended please for clarification."
Please submit a Planning Supporting Statement (including Town Centre Sequential Test & Loss of Employment Land/site Assessment),,,,,,,,"The site address is incorrect, in the text box under the address please specify that the tree is on the land adjacent to No.16. And remove number 16 from the tree location."
"The application must be accompanied by a Noise Impact Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/",,,,,,,,Please provide the species for T4. Please also provide the proposed resultant height and crown spread for it in meters.
"The application must be accompanied by a Crime Impact Statement, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/crime-impact-statement/",,,,,,,,Please provide the species for T3 Please also provide the proposed resultant height and crown spread for it in meters.
"Please provide the use of the proposed commercial unit (Restaurant, Bar, Takeaway ect) as requested at pre-app . Depending on the use we may require an odour statement",,,,,,,,Please provide the species for T4. Please also provide the proposed resultant height and crown spread for it in meters.
"Please provide details of the levels changes on site. There is reference in the submission to cut and fill, and we have been provided with a topographical survey of the site as it stands, but there is no detail provided of the cut and fill and the proposed post-remediation land levels.",,,,,,,,Please provide the species for T5 and the proposed resultant height and tree spread in metric for the works.
The biodiversity statement has not successfully arrived through the Planning Portal to our system. Please submit it via planning.contact@salford.gov.uk.,,,,,,,,Please provide the species for T2 and the proposed resultant height and tree spread in metric for the works.
"Please submit a preliminary risk assessment. including a conceptual model and a site walk over, and a site investigation if necessary",,,,,,,,Please provide the species of T6 and the resultant height and spread after the proposed crown reduction.
There are trees on the site of the proposed development. A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,,,,,,,,Please identify on the enclosed plan to precise location of the tree to which your application relates.
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,Please specify the resultant spread of T3 - Willow.
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,,,,,,,,"The proposal is to vague, please can you specify if you are crown thinning or if you are removing individual branches. If there is crown thinning you would need to specify a percentage or you are removing individual branches you will need to show which branches you intend to remove."
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",,,,,,,,"We have removed T2 Sycamore - remove dead wood from the proposal as removal of dead wood does not require a permission. Please confirm that this is acceptable, or if you are proposing other works to this tree, describe the works proposed."
"The application must be accompanied by a Biodiversity survey and Net Gain Report, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",,,,,,,,Please provide the resultant height and crown spread in meters for the proposed crown reduction of the horse chestnut (T1).
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",,,,,,,,"Please provide only one proposal for the tree. If you wish to seek consent for alternate proposal, this would need to be on a separate application."
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,Please confirm that the trees are lime trees.
Fire safety statement required (proposals for buildings over 18m (7 storeys) tall containing more than one dwelling will require a 'Fire Statement'.,,,,,,,,Good afternoon can you please confirm by return email you are in agreement with the change of proposal on the above planning application this is what will appear on the decision notice
"The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",,,,,,,,Please provide the resultant height and crown spread in metric.
Topographic survey plan is required,,,,,,,,Please provide the height the tree is proposed to be pollarded to.
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Land Contamination Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/land-contamination-assessment/",,,,,,,,Please provide the species of each tree T1 to T8.
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,,,,,,,,Please provide the resultant heigh and spread for each tree in meters.
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",,,,,,,,"Please confirm the site address. It appears that the trees are located at 42 Wellington Road Eccles, Manchester, M30 0NP"
"A preliminary bat inspection is required, the results of which will determine if further survey effort is necessary.",,,,,,,,Please provide the resultant crown spread for T6 and T7 limes in metric.
"Confirmation is required on the following: The application form states address as Bank House, Bury old Road, the submitted plans are titled 1 George Street - please amend to correct address Proposal on application form states Change of use to dormitory block , the planning statement proposal says into four residential apartments - please amend to correct proposal",,,,,,,,"Please confirm the resultant width for G1 Conifers, and height/width of the G1 Conifers in metric."
"The application must be accompanied by a Crime Impact Statement, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/crime-impact-statement/",,,,,,,,"Please confirm if you agree to the corrected site address as: Ingledene Court, Upper Park Road, 23A Upper Park Road Salford and 70 Waterpark Road, SALFORD"
"The development falls in the bat protection zone. Please see the below regarding the conditions that are likely to affect a bat roost. Either confirm that those conditions/bats are not present, or provide a bat survey.   Construction, demolition, extension or conversion proposals could affect a bat roost in a building or barn. You are required to submit a bat survey where roosts are likely if the building or barn: has little or no disturbance from artificial lighting is close to woodland or water has uneven roof tiles and large roof timbers has cracks, crevices and small openings has a roof that warms in the sun with a large roof space for flying has hanging tiles or timber cladding on south-facing walls and has not been used for several years https://www.gov.uk/guidance/bats-advice-for-making-planning-decisions",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Flood Risk Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/ Or go the Environment Agency web page https://www.gov.uk/guidance/flood-risk-assessment-for-planning-applications.",,,,,,,,"PROP - We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Flood Risk Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/ Or go the Environment Agency web page https://www.gov.uk/guidance/flood-risk-assessment-for-planning-applications.",,,,,,,,Please amend the red line in the location plan to the include the site area only (the unit and any external area where the signs are located).
The proposed 2nd floor layout plan is annotated incorrectly is it showing bedroom 3.1 yet it is an ensuite please amend this plan together with the plan within the planning statement,,,,,,,,Please amend the red line on the location plan to include the unit only and any area outside where development is being proposed in.
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",,,,,,,,"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
