Invalid Reason Details,Planning Application: Application Type
"There appears to be tree(s) within the vicinity of the proposed development. We require the full crown spread of the tree(s) and their root protection zone plotting accurately on a scaled site plan, in order that we can assess whether there will be any impact on the trees or whether it will be necessary to require a full tree survey to be submitted to accompany the application.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
Please provide a scaled sectional elevation plan of the proposed boundary wall and gate with dimensions.,Householder planning permission
Please submit a scaled proposed roof plan.,Householder planning permission
The property boundaries to a conservation area in the rear. Please provide a heritage statement proportional to the impact of the proposed development. Further information: https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/heritage-assessment/,Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
"The submitted fee is insufficient. A fee of £251.00 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
Please amend the location plan to include a sufficient are around the site.,Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
"A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
Please submit existing and proposed roof plans illustrating the roof lights.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"The 1.1250 location plan submitted is incorrect it should only have one thin red continuous line around the boundary of the proposal, it must not be dotted or hatched, please provide an amended plan.",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
The submitted plans are inadequate. Please provide full elevational drawings of the proposed works.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
Please amend the location plan red line to only include one red line and ensure it is continuous.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
The application should be accompanied by a Green Belt Impact Assessment. Further details about the information required can be found on our web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/,Householder planning permission
"The development falls in the bat protection zone and involves works to the roof. Please see the below regarding the conditions that are likely to affect a bat roost. Either confirm that those conditions/bats are not present, or provide a bat survey.   Construction, demolition, extension or conversion proposals could affect a bat roost in a building or barn. You are required to submit a bat survey where roosts are likely if the building or barn: has little or no disturbance from artificial lighting is close to woodland or water has uneven roof tiles and large roof timbers has cracks, crevices and small openings has a roof that warms in the sun with a large roof space for flying has hanging tiles or timber cladding on south-facing walls and has not been used for several years https://www.gov.uk/guidance/bats-advice-for-making-planning-decisions",Householder planning permission
We require Proposed floor layout and elevations to scale with scale bar shown on plans,Householder planning permission
Please plot the proposed fence to the site plan.,Householder planning permission
"Pleas see the below link relating to planning rules for decking. If the decking is not within permitted development, it would need to be included in the proposal and the site plan. https://www.planningportal.co.uk/permission/common-projects/decking/planning-permission",Householder planning permission
Please include a scale bar to the proposed elevation drawing.,Householder planning permission
Please amend the proposed elevations drawing. The rear elevation is annotated as front elevation.,Householder planning permission
The plans submitted indicate a new fence. Please provide full elevational drawings of the proposed works.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
Please provide existing elevation plans or advice which plans to use from the previous application PA/2023/0455.,Householder planning permission
Please provide existing floor plans or advice which plans to use from the previous application PA/2023/0455.,Householder planning permission
Please provide a site plan or advice which plans to use from the previous application PA/2023/0455.,Householder planning permission
"The application must be accompanied by a Flood Risk Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at www.salford.gov.uk/validationchecklist.htm  Or go the Environment Agency web page - https://www.gov.uk/guidance/flood-risk-assessment-standing-advice",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"As your property is within Flood Zone 2 or 3 as defined by the Environment Agency, you need to demonstrate that the floor levels for the work are either no lower than the existing floor levels, or 300mm above the estimated flood level. For more information please see the following Government web site https://www.gov.uk/flood-risk-assessment-standing-advice#minor-extensions-standing-advice",Householder planning permission
"Please amend the certificate of ownership in the application form. The certificate B must have the details of the owner of the dropped kerb area, Salford City Council's Highways department. You also must serve notice to the highways department.",Householder planning permission
Please submit a scaled proposed elevation plan of the dropped kerb area in metric and PDF-format with a scale bar.,Householder planning permission
Please submit a scaled layout plan of the dropped kerb area in metric and PDF-format with a scale bar.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"Please provide an updated location plan. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"A signed Certificate of Ownership is required. Please sign Certificate B if you are a tenant or prospective purchaser. If you have signed Certificate B, you should also complete a Notice No. 1 and send it to your landlord or their agent or the current owner.",Householder planning permission
"As your property is within Flood Zone 2 or 3 as defined by the Environment Agency, you need to demonstrate that the floor levels for the work are either no lower than the existing floor levels, or 300mm above the estimated flood level. For more information please see the following Government web site https://www.gov.uk/flood-risk-assessment-standing-advice#minor-extensions-standing-advice",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",Householder planning permission
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
"The location plans submitted is incorrect it should have a continuous red line around both properties , the one submitted has a red dotted line down the middle",Householder planning permission
Certificate A has been completed on the application form this is incorrect Certificate B should be signed by the lead applicant and notice served on the other,Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
Please amend the location plan so that it includes sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear.,Householder planning permission
Block plan error Proposed site plan indicates proposed work at 6 Wordford ave? Please can this plan be resubmitted. I have attached the plan in question,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application states the development is for disabled applicant, however no justification has been provided. A fee of £258.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.",Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
Please amend the location plan to only include one red line around the property boundaries.,Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"As your property is within Flood Zone 2 or 3 as defined by the Environment Agency, you need to demonstrate that the floor levels for the work are either no lower than the existing floor levels, or 300mm above the estimated flood level. For more information please see the following Government web site https://www.gov.uk/flood-risk-assessment-standing-advice#minor-extensions-standing-advice",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
The submitted plans are inadequate. Please provide full elevational drawings of the proposed works.,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application states the development is for disabled applicant, however no justification has been provided. A fee of £258.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.",Householder planning permission
"A fee of £ 258.00 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Householder planning permission
"The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"An existing site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"A fee of £258.00 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Householder planning permission
"As your property is within Flood Zone 2 or 3 as defined by the Environment Agency, you need to demonstrate that the floor levels for the work are either no lower than the existing floor levels, or 300mm above the estimated flood level. For more information please see the following Government web site https://www.gov.uk/flood-risk-assessment-standing-advice#minor-extensions-standing-advice",Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
The submitted plans are inadequate. Please provide full elevational drawings of the proposed works.,Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
"We require scaled plans in metric and PDF format showing the existing and proposed floor layouts and correctly annotated - A scale bar must be included on all plans submitted and plans annotated correctly,",Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application states the development is for disabled applicant, however no justification has been provided. A fee of £258.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"As your property is within Flood Zone 2 or 3 as defined by the Environment Agency, you need to demonstrate that the floor levels for the work are either no lower than the existing floor levels, or 300mm above the estimated flood level. For more information please see the following Government web site https://www.gov.uk/flood-risk-assessment-standing-advice#minor-extensions-standing-advice",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
"The submitted plans are inadequate. Please provide full elevational drawings of the proposed works. Taking a look at drawing number 01 Annex, this is annotated as 'existing' please can this be corrected",Householder planning permission
"The application must be accompanied by a Biodiversity survey, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-survey-and-reports/",Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,Householder planning permission
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Householder planning permission
Please amend the proposed site plan to two storey side extension.,Householder planning permission
A tree survey is required to accompany the planning application. The survey should be in accordance with the Council's Supplementary Planning Document in relation to Trees and Development. Further information can be found on the following Arboricultural Web site http://www.trees.org.uk/,Householder planning permission
"An existing and proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Householder planning permission
